Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo
107,Nicolas Jarry,24.1,1681.9,1426.1,1746.7,1434.1,1554,1714.3,1558
108,Bernard Tomic,27,1680.6,1659.5,1489,1554,1670,1584.8,1617.3
109,Marcel Granollers,33.5,1678,1545.7,1554.7,1619.2,1611.8,1616.4,1648.6
110,Salvatore Caruso,26.9,1671.1,1493,1684.1,1511.7,1582.1,1677.6,1591.4
111,Hugo Dellien,26.4,1669.1,1375.1,1630.7,1375.1,1522.1,1649.9,1522.1
112,Marius Copil,29,1668.8,1610.3,1481.8,1548.1,1639.6,1575.3,1608.5
113,Christopher Oconnell,25.4,1667.3,1574.8,1484.1,0,1621.1,1575.7,1533.6
114,Maximilian Marterer,23.9,1666.4,1627.5,1604.3,1330.2,1647,1635.3,1498.3
115,Nicolas Mahut,37.7,1662.8,1561.4,1541.5,1609.3,1612.1,1602.2,1636.1
116,Marcos Giron,26.3,1662.6,1611.5,1353.5,1553.8,1637.1,1508.1,1608.2
117,Robin Haase,32.6,1659.3,1617.8,1539,1532.7,1638.5,1599.1,1596
118,Thiago Monteiro,25.4,1652.3,1472.5,1619.1,1443.2,1562.4,1635.7,1547.8
119,Ilya Ivashka,25.7,1651.7,1572.4,1536.7,1458,1612.1,1594.2,1554.9
120,Jason Kubler,26.2,1650.3,1620.6,1326.3,1472.5,1635.4,1488.3,1561.4
121,Kamil Majchrzak,23.8,1648.8,1590.6,1486,1550.3,1619.7,1567.4,1599.5
122,Jozef Kovalik,27,1644.8,1376.8,1653.5,1312.1,1510.8,1649.2,1478.5
123,Matthew Ebden,31.7,1641.9,1554.4,1326.7,1572.7,1598.2,1484.3,1607.3
124,Evgeny Donskoy,29.5,1641.7,1559.4,1475.5,1468.3,1600.5,1558.6,1555
125,Antonie Hoang,24,1640.4,1562.6,1472.4,1521.6,1601.5,1556.4,1581
126,Peter Gojowczyk,30.3,1639,1591.8,1488.6,1435.3,1615.4,1563.8,1537.2
127,Jeffrey John Wolf,20.9,1638.6,1570.7,0,0,1604.6,1429.3,1519.3
128,Bradley Klahn,29.2,1638.1,1596.6,1300.6,1352.4,1617.3,1469.3,1495.3
129,Bjorn Fratangelo,26.1,1634.4,1636,1510.9,1471.6,1635.2,1572.7,1553
130,Guido Andreozzi,28.2,1634.4,1494.1,1608.3,1241,1564.3,1621.3,1437.7
131,Yannick Hanfmann,28,1634.3,1286.9,1628.5,1423.2,1460.6,1631.4,1528.8
132,Sumit Nagal,22.2,1633.9,1380,1601.8,1328.2,1506.9,1617.9,1481
133,Stefano Travaglia,27.9,1632.9,1511.4,1658.7,1416.9,1572.2,1645.8,1524.9
134,Botic Van De Zandschulp,24.1,1632.8,1570.4,1303.3,1351.5,1601.6,1468.1,1492.1
135,Simone Bolelli,33.7,1631.8,1519.4,1637.7,1565.6,1575.6,1634.8,1598.7
136,Marco Cecchinato,27.1,1626.7,1367,1690.3,1379.9,1496.9,1658.5,1503.3
137,James Duckworth,27.8,1625.4,1575.8,1470.4,1416.6,1600.6,1547.9,1521
138,Federico Coria,27.7,1622.1,1190.8,1606.2,1347.8,1406.4,1614.2,1484.9
139,Norbert Gombos,29.2,1620.2,1543,1524.5,1408.4,1581.6,1572.3,1514.3
140,Dustin Brown,34.6,1619.2,1446.8,1591.9,1560.2,1533,1605.6,1589.7
141,Michael Mmoh,21.8,1619,1583.9,1344.6,1390.7,1601.4,1481.8,1504.8
142,Taro Daniel,26.8,1618.9,1545,1575.5,1329.2,1581.9,1597.2,1474.1
143,Yuichi Sugita,31.2,1617.2,1533.8,1343.5,1562.8,1575.5,1480.3,1590
144,Lukas Rosol,34.3,1614.3,1523.4,1550,1509.1,1568.8,1582.1,1561.7
145,Viktor Troicki,33.7,1612.8,1479.3,1617.6,1612.2,1546,1615.2,1612.5
146,Zhizhen Zhang,23,1612.1,1537.7,1395.5,0,1574.9,1503.8,1506
147,Guillermo Garcia Lopez,36.5,1611.9,1563.1,1572.5,1425.3,1587.5,1592.2,1518.6
148,Denis Istomin,33.1,1610.9,1611,1508.9,1440,1611,1559.9,1525.4
149,Lukas Lacko,32,1610.1,1536.5,1267.7,1522.7,1573.3,1438.9,1566.4
150,Mathias Bourgue,25.8,1608.9,1542.2,1448,1392.3,1575.6,1528.5,1500.6
151,Corentin Moutet,20.5,1608.2,1491.7,1573.9,1585.8,1550,1591,1597
152,Dudi Sela,34.5,1607.6,1536.1,1309.2,1643.9,1571.8,1458.4,1625.7
153,Prajnesh Gunneswaran,30,1601.5,1547.6,1486.1,1304.9,1574.5,1543.8,1453.2
154,Denis Kudla,27.2,1601.1,1505.2,1486.2,1573.2,1553.2,1543.7,1587.2
