P1,EloP1,HardRawP1,ClayRawP1,GrassRawP1,hEloP1,cEloP1,gEloP1
Haase R.,1659.3,1617.8,1539,1532.7,1638.5,1599.1,1596
Monteiro T.,1652.3,1472.5,1619.1,1443.2,1562.4,1635.7,1547.8
Ivashka I.,1651.7,1572.4,1536.7,1458,1612.1,1594.2,1554.9
Kubler J.,1650.3,1620.6,1326.3,1472.5,1635.4,1488.3,1561.4
Majchrzak K.,1648.8,1590.6,1486,1550.3,1619.7,1567.4,1599.5
Kovalik J.,1644.8,1376.8,1653.5,1312.1,1510.8,1649.2,1478.5
Ebden M.,1641.9,1554.4,1326.7,1572.7,1598.2,1484.3,1607.3
Donskoy E.,1641.7,1559.4,1475.5,1468.3,1600.5,1558.6,1555
Hoang A.,1640.4,1562.6,1472.4,1521.6,1601.5,1556.4,1581
Gojowczyk P.,1639,1591.8,1488.6,1435.3,1615.4,1563.8,1537.2
Klahn B.,1638.1,1596.6,1300.6,1352.4,1617.3,1469.3,1495.3
Fratangelo B.,1634.4,1636,1510.9,1471.6,1635.2,1572.7,1553
Andreozzi G.,1634.4,1494.1,1608.3,1241,1564.3,1621.3,1437.7
Hanfmann Y.,1634.3,1286.9,1628.5,1423.2,1460.6,1631.4,1528.8
Nagal S.,1633.9,1380,1601.8,1328.2,1506.9,1617.9,1481
Travaglia S.,1632.9,1511.4,1658.7,1416.9,1572.2,1645.8,1524.9
Bolelli S.,1631.8,1519.4,1637.7,1565.6,1575.6,1634.8,1598.7
Cecchinato M.,1626.7,1367,1690.3,1379.9,1496.9,1658.5,1503.3
Duckworth J.,1625.4,1575.8,1470.4,1416.6,1600.6,1547.9,1521
Coria F.,1622.1,1190.8,1606.2,1347.8,1406.4,1614.2,1484.9
Gombos N.,1620.2,1543,1524.5,1408.4,1581.6,1572.3,1514.3
Brown D.,1619.2,1446.8,1591.9,1560.2,1533,1605.6,1589.7
Mmoh M.,1619,1583.9,1344.6,1390.7,1601.4,1481.8,1504.8
Daniel T.,1618.9,1545,1575.5,1329.2,1581.9,1597.2,1474.1
Sugita Y.,1617.2,1533.8,1343.5,1562.8,1575.5,1480.3,1590
Rosol L.,1614.3,1523.4,1550,1509.1,1568.8,1582.1,1561.7
Troicki V.,1612.8,1479.3,1617.6,1612.2,1546,1615.2,1612.5
Zhang Z.,1612.1,1537.7,1395.5,0,1574.9,1503.8,1506
Garcia-Lopez G.,1611.9,1563.1,1572.5,1425.3,1587.5,1592.2,1518.6
Istomin D.,1610.9,1611,1508.9,1440,1611,1559.9,1525.4
Lacko L.,1610.1,1536.5,1267.7,1522.7,1573.3,1438.9,1566.4
Bourgue M.,1608.9,1542.2,1448,1392.3,1575.6,1528.5,1500.6
Moutet C.,1608.2,1491.7,1573.9,1585.8,1550,1591,1597
Sela D.,1607.6,1536.1,1309.2,1643.9,1571.8,1458.4,1625.7
Gunneswaran P.,1601.5,1547.6,1486.1,1304.9,1574.5,1543.8,1453.2
Kudla D.,1601.1,1505.2,1486.2,1573.2,1553.2,1543.7,1587.2
Nakashima B.,1600.7,1552.4,0,0,1576.5,1410.3,1500.3
Maden Y.,1597.3,1535.7,1587.8,1437.4,1566.5,1592.5,1517.4
Zverev M.,1597.1,1530.4,1509.8,1553.5,1563.8,1553.4,1575.3
Soeda G.,1597,1492.2,1359.6,1534.3,1544.6,1478.3,1565.7
Polmans M.,1590.1,1570.6,1317.8,1312.7,1580.4,1453.9,1451.4
Bachinger M.,1589.5,1517,1488.6,1484.3,1553.2,1539,1536.9
Martin A.,1587.1,1297.2,1573,1109.7,1442.2,1580,1348.4
Sousa P.,1586.2,1150.5,1575.3,1346.7,1368.3,1580.7,1466.4
Laaksonen H.,1582.4,1473.1,1521.6,1264.5,1527.8,1552,1423.4
Rubin N.,1582.4,1515.8,1423.2,1430.6,1549.1,1502.8,1506.5
Jung J.,1581.7,1545.4,1365.8,1381.9,1563.5,1473.8,1481.8
Kavcic B.,1581.5,1525.8,1430,1399.1,1553.7,1505.8,1490.3
Zapata Miralles B.,1577.3,1433.3,1500.5,1335.3,1505.3,1538.9,1456.3
Giraldo S.,1575.1,1530.8,1521.4,1394.6,1553,1548.3,1484.9
Marchenko I.,1574.9,1547.8,1325.6,1347.7,1561.4,1450.3,1461.3
Escobedo E.,1574.7,1515.3,1384.4,1411.1,1545,1479.6,1492.9
Gulbis E.,1574.4,1524.9,1555.3,1506.4,1549.6,1564.9,1540.4
Bagnis F.,1573.9,1342.2,1557.1,1194.6,1458.1,1565.5,1384.3
Fabbiano T.,1571.3,1464.6,1441.4,1612.8,1518,1506.3,1592.1
Ymer E.,1571.1,1504.9,1530.8,1356.6,1538,1551,1463.9
Giannessi A.,1570.5,1395.3,1553.4,1338.4,1482.9,1562,1454.5
Trungelliti M.,1570.4,1377.2,1593.8,1247.4,1473.8,1582.1,1408.9
Balazs A.,1570.4,1172.7,1538.2,1437.4,1371.5,1554.3,1503.9
Petrovic D.,1569.2,1464.8,1499.2,1324.2,1517,1534.2,1446.7
Moraing M.,1568.2,1459.3,1493.7,1395.2,1513.8,1531,1481.7
Popko D.,1566.7,1498.5,1484.8,1319.7,1532.6,1525.8,1443.2
Mager G.,1566.2,1383.8,1588.9,1376.6,1475,1577.5,1471.4
Taberner C.,1565.7,1394.9,1553.4,0,1480.3,1559.6,1482.9
Griekspoor T.,1563.4,1407.3,1588.4,1329.9,1485.4,1575.9,1446.7
Kolar Z.,1561.7,1559,1373.6,1369.5,1560.4,1467.7,1465.6
Lorenzi P.,1560.9,1519,1530.7,1265.5,1540,1545.8,1413.2
Gojo B.,1559.2,1513,1132.3,0,1536.1,1345.7,1479.6
Ito T.,1557.4,1515.3,1217,1409.3,1536.4,1387.2,1483.3
Gaio F.,1554.8,1374.1,1529.8,1279.9,1464.5,1542.3,1417.4
Diez S.,1552.7,1478.6,1448.8,1309.6,1515.6,1500.7,1431.2
Robredo T.,1551.9,1527.8,1529,1519.7,1539.9,1540.5,1535.8
Schnur B.,1551.2,1496.3,0,1400.2,1523.8,1385.6,1475.7
Smyczek T.,1550,1467.3,1305,1507.3,1508.6,1427.5,1528.7
Molcan A.,1546.2,1456,1465.2,0,1501.1,1505.7,1473.1
Dutra Silva R.,1545,1543.5,1504.3,1233.3,1544.2,1524.7,1389.2
Rola B.,1539.9,1473.6,1502.2,1444,1506.7,1521.1,1491.9
Roumane R.,1539.5,1471,0,0,1505.2,1379.7,1469.7
Marcora R.,1539.5,1500.8,1458.3,1256.2,1520.1,1498.9,1397.8
Stakhovsky S.,1537.7,1425.7,1463.5,1556.1,1481.7,1500.6,1546.9
Lestienne C.,1536.8,1400,1494.2,1305,1468.4,1515.5,1420.9
Jaziri M.,1536,1486.6,1536.7,1330,1511.3,1536.3,1433
Couacaud E.,1535.6,1474.9,1407.4,1451.5,1505.2,1471.5,1493.6
Coppejans K.,1534.8,1397,1514.7,1192.7,1465.9,1524.7,1363.7
Ofner S.,1534.6,1528.2,1367.5,1365.7,1531.4,1451,1450.1
